지역,연도,시험구분,임용기관,직렬,직급,선발,접수,원본파일명
국가직,2026,공개경쟁,,행정,7급,1,7,2026년도 국가직 7급 공개경쟁채용시험 원서접수 현황.pdf
국가직,2026,공개경쟁,,행정,7급,1,157,2026년도 국가직 7급 공개경쟁채용시험 원서접수 현황.pdf
국가직,2026,공개경쟁,,행정,7급,10,556,2026년도 국가직 7급 공개경쟁채용시험 원서접수 현황.pdf
국가직,2026,공개경쟁,,행정,7급,1,13,2026년도 국가직 7급 공개경쟁채용시험 원서접수 현황.pdf
국가직,2026,공개경쟁,,행정,7급,1,103,2026년도 국가직 7급 공개경쟁채용시험 원서접수 현황.pdf
국가직,2026,공개경쟁,,행정,7급,93,1731,2026년도 국가직 7급 공개경쟁채용시험 원서접수 현황.pdf
국가직,2026,공개경쟁,,행정,7급,7,20,2026년도 국가직 7급 공개경쟁채용시험 원서접수 현황.pdf
국가직,2026,공개경쟁,,행정,7급,2,377,2026년도 국가직 7급 공개경쟁채용시험 원서접수 현황.pdf
국가직,2026,공개경쟁,,행정,7급,11,531,2026년도 국가직 7급 공개경쟁채용시험 원서접수 현황.pdf
국가직,2026,공개경쟁,,행정,7급,1,14,2026년도 국가직 7급 공개경쟁채용시험 원서접수 현황.pdf
국가직,2026,공개경쟁,,세무,7급,31,2968,2026년도 국가직 7급 공개경쟁채용시험 원서접수 현황.pdf
국가직,2026,공개경쟁,,세무,7급,3,37,2026년도 국가직 7급 공개경쟁채용시험 원서접수 현황.pdf
국가직,2026,공개경쟁,,관세,7급,33,814,2026년도 국가직 7급 공개경쟁채용시험 원서접수 현황.pdf
국가직,2026,공개경쟁,,관세,7급,3,12,2026년도 국가직 7급 공개경쟁채용시험 원서접수 현황.pdf
국가직,2026,공개경쟁,,통계,7급,4,244,2026년도 국가직 7급 공개경쟁채용시험 원서접수 현황.pdf
국가직,2026,공개경쟁,,통계,7급,1,6,2026년도 국가직 7급 공개경쟁채용시험 원서접수 현황.pdf
국가직,2026,공개경쟁,,감사,7급,16,798,2026년도 국가직 7급 공개경쟁채용시험 원서접수 현황.pdf
국가직,2026,공개경쟁,,감사,7급,2,34,2026년도 국가직 7급 공개경쟁채용시험 원서접수 현황.pdf
국가직,2026,공개경쟁,,교정,7급,35,953,2026년도 국가직 7급 공개경쟁채용시험 원서접수 현황.pdf
국가직,2026,공개경쟁,,보호,7급,3,126,2026년도 국가직 7급 공개경쟁채용시험 원서접수 현황.pdf
국가직,2026,공개경쟁,,검찰,7급,10,974,2026년도 국가직 7급 공개경쟁채용시험 원서접수 현황.pdf
국가직,2026,공개경쟁,,출입국관리,7급,6,390,2026년도 국가직 7급 공개경쟁채용시험 원서접수 현황.pdf
국가직,2026,공개경쟁,,외무영사,7급,23,1594,2026년도 국가직 7급 공개경쟁채용시험 원서접수 현황.pdf
국가직,2026,공개경쟁,,외무영사,7급,2,16,2026년도 국가직 7급 공개경쟁채용시험 원서접수 현황.pdf
